n,seed,surrogate,mae
20,4,physics-informed GP,0.0012110509989626162
20,5,plain GP,0.0013094666288552765
20,5,physics-informed GP,0.0013401335517637314
20,6,plain GP,0.0016865922539099562
20,6,physics-informed GP,0.001724647482260021
20,7,plain GP,0.0014177054157233622
20,7,physics-informed GP,0.00139555631940866
20,8,plain GP,0.0013255726502555817
20,8,physics-informed GP,0.0013596756826210422
20,9,plain GP,0.001302431247867507
20,9,physics-informed GP,0.0013311759827322575
20,10,plain GP,0.0015665169596680859
20,10,physics-informed GP,0.001650327673870744
20,11,plain GP,0.001370910094699849
20,11,physics-informed GP,0.0013544107625738941
20,12,plain GP,0.001386631847722063
20,12,physics-informed GP,0.0013933231887828215
20,13,plain GP,0.0015883500514889959
20,13,physics-informed GP,0.001669677005710946
20,14,plain GP,0.0015321556078886688
20,14,physics-informed GP,0.0015125029095630234
25,0,plain GP,0.0013180401350156117
25,0,physics-informed GP,0.0013319892139820916
25,1,plain GP,0.001524727707891149
25,1,physics-informed GP,0.0014806651200297536
25,2,plain GP,0.001191501008087485
25,2,physics-informed GP,0.0011768513734109376
25,3,plain GP,0.0010590672358570608
25,3,physics-informed GP,0.0011047817202986894
25,4,plain GP,0.0013114961739288935
25,4,physics-informed GP,0.001320491773014414
25,5,plain GP,0.0009974496368740588
25,5,physics-informed GP,0.000985457973615203
25,6,plain GP,0.0011960036515226747
25,6,physics-informed GP,0.0011419570171380816
25,7,plain GP,0.0010911616122421138
25,7,physics-informed GP,0.0010994548006319316
25,8,plain GP,0.0010013503720713857
25,8,physics-informed GP,0.0010055324169506387
25,9,plain GP,0.00117310902409424
25,9,physics-informed GP,0.0012283894248164438
25,10,plain GP,0.0013879667781883822
25,10,physics-informed GP,0.0014153393791072626
25,11,plain GP,0.0013346045259704624
25,11,physics-informed GP,0.0013598028262893605
25,12,plain GP,0.0010473608777505044
25,12,physics-informed GP,0.0010707162476478861
25,13,plain GP,0.0010378543787073003
25,13,physics-informed GP,0.0010130976688818008
25,14,plain GP,0.001172549635504465
25,14,physics-informed GP,0.0011672871278409862
