method,n,seed,mae,rmse,r2,mape,bep_q_err,bep_h_err,bep_eff_err
LHS,12,17,0.0032475268573563722,0.0047802160676723585,0.9939197824858155,0.5316487809080294,0.02739999999999998,0.0,0.0005969418382141267
LHS,12,18,0.001985516969661673,0.003282550300980275,0.997132873590973,0.3189861294506419,0.02739999999999998,0.0,0.0013801446945608253
LHS,12,19,0.003247047475433056,0.00609441892429884,0.9901170028727871,0.524929324310803,0.02739999999999998,1.0,0.010699080974603037
LHS,14,0,0.002382003029105807,0.004563238575231015,0.9944592263142799,0.37768686838293103,0.02739999999999998,0.0,0.00977555002757291
LHS,14,1,0.0024171496385399453,0.003778289935085714,0.9962014781920834,0.3985351631500352,0.02739999999999998,1.0,0.002906829515368914
LHS,14,2,0.0038108510572885204,0.007128101354516304,0.9864801524670658,0.6169707846861681,0.02739999999999998,1.0,0.017766592129353276
LHS,14,3,0.002242892053751724,0.003634388584852325,0.9964853119818409,0.36638829602933176,0.02739999999999998,1.0,0.0004891865707867815
LHS,14,4,0.0037384631003068275,0.005164773358145877,0.992902153576324,0.6154066205709284,0.0,0.0,0.013310002293800194
LHS,14,5,0.003698776882176679,0.00598356542136191,0.9904732635958261,0.6036070696396407,0.02739999999999998,1.0,0.005793233256966901
LHS,14,6,0.0028710816280592905,0.004454114313148727,0.9947210593536989,0.4633972643026393,0.0,0.0,0.010706797062785656
LHS,14,7,0.0014658691617006644,0.0021679868484193636,0.9987493455059655,0.23668384333328665,0.018299999999999983,0.0,0.004687563429203845
LHS,14,8,0.002249458072029527,0.0038503079047889936,0.9960552908884636,0.3596106802100379,0.007600000000000051,1.0,0.012039213468114318
LHS,14,9,0.002555953000299506,0.004044296865817325,0.9956477872684493,0.4195287325187079,0.02739999999999998,1.0,0.0017491892801642095
LHS,14,10,0.0030833425176743576,0.004971632064998357,0.9934230881342684,0.5121198048800962,0.026800000000000046,1.0,0.012125102844464553
LHS,14,11,0.0033413665296528885,0.005627734018131148,0.9915726469568342,0.5579521920689877,0.02739999999999998,1.0,0.005867977918075251
LHS,14,12,0.003323195552652839,0.00583804399903956,0.9909310128007208,0.5402968140119788,0.02739999999999998,1.0,0.007993276047090658
LHS,14,13,0.0026012211538666194,0.005108173349304976,0.9930568697070019,0.4108769919520347,0.02739999999999998,1.0,0.010345044050809826
LHS,14,14,0.0020969693012998555,0.0037989372543097704,0.9961598489942214,0.3391246417938088,0.02739999999999998,1.0,0.0019212905268535252
LHS,14,15,0.003333132532987019,0.005349671980938165,0.9923848516384709,0.5510864294765738,0.02739999999999998,0.0,0.009515612917982752
LHS,14,16,0.002785456821275221,0.00442277649448165,0.9947950801413955,0.4530149332930139,0.007600000000000051,1.0,0.011875852134339837
LHS,14,17,0.0018432610763132592,0.0027907862384829504,0.9979275827099481,0.29303779638681493,0.02739999999999998,0.0,0.0055796118044431076
LHS,14,18,0.00364946477760209,0.0051511981912387254,0.9929394167100484,0.6111364422945038,0.007600000000000051,1.0,0.0035431735414237497
LHS,14,19,0.0015613456067936056,0.002752332681203613,0.9979842999094987,0.24592019364809764,0.02739999999999998,0.0,0.005491373852291925
LHS,16,0,0.0032473715460144595,0.005471525653464251,0.9920339882824484,0.5248065629199633,0.02739999999999998,0.0,0.012896998905545853
LHS,16,1,0.001577821523084959,0.002820971565643109,0.9978825094605831,0.2457628925658423,0.02739999999999998,0.0,0.008532150244057068
LHS,16,2,0.0017258402448894305,0.003458892147476252,0.9968165494941569,0.2685210669298139,0.02739999999999998,1.0,0.0024642269579774334
LHS,16,3,0.003879207188033047,0.006536931881425447,0.9886296985169076,0.6391681574218405,0.007600000000000051,1.0,0.018672697735668486
LHS,16,4,0.0021654004194124688,0.0037595782041254717,0.9962390088831987,0.34324898405391097,0.007600000000000051,1.0,0.013845533730649784
LHS,16,5,0.0022931197797943204,0.0038557830210864084,0.9960440642034227,0.3665630403697833,0.02739999999999998,1.0,0.0008966481475631838
LHS,16,6,0.001942206456387153,0.004001956302894002,0.9957384386406081,0.3053158119609038,0.02739999999999998,1.0,0.005751734161996369
LHS,16,7,0.0021621793524296312,0.0031272146066208266,0.9973978074256402,0.3541974573424806,0.02739999999999998,0.0,0.007634136769861466
LHS,16,8,0.001985507114544185,0.003329392249601877,0.9970504620402612,0.31906161726100574,0.02739999999999998,0.0,0.005853984089728925
LHS,16,9,0.0016911114690105725,0.0026775839523534616,0.9980922992329234,0.27320669244545615,0.02739999999999998,0.0,0.004533361504292177
LHS,16,10,0.0021922405187039824,0.0039949100829372135,0.9957534320395651,0.3448360531471992,0.02739999999999998,1.0,0.004101930805869403
LHS,16,11,0.0021397019082040466,0.0036823486470865044,0.9963919389936354,0.33574285128594944,0.02739999999999998,0.0,0.005210282421657664
LHS,16,12,0.0030739051922944213,0.004801269248401407,0.9938661071687717,0.48668153985613716,0.02739999999999998,0.0,0.006481407485008028
LHS,16,13,0.002187262023653165,0.004019677844197476,0.9957006128161014,0.34538196514372094,0.018299999999999983,0.0,0.01178612773584753
LHS,16,14,0.002479108575021297,0.004237434086719434,0.99522217792174,0.39440101972096664,0.018299999999999983,0.0,0.012567826216996147
LHS,16,15,0.0022169672367442547,0.003658666362538379,0.9964381987955049,0.35564569913876304,0.02739999999999998,0.0,0.0020905213315063342
LHS,16,16,0.002111909288479634,0.004452103812031268,0.9947258239017098,0.3333552902565311,0.02739999999999998,1.0,0.004441971815818624
LHS,16,17,0.0018008729010507314,0.0029040107532043295,0.997756012146988,0.2867290879627395,0.02739999999999998,0.0,0.008119884869622007
LHS,16,18,0.001954767722842895,0.0032124556807713615,0.9972540137958172,0.31717417080014243,0.02739999999999998,0.0,0.009936723181160678
LHS,16,19,0.001920176543754615,0.0027838507206265177,0.997937870439655,0.3062511438665569,0.018299999999999983,0.0,0.004686409974219652
LHS,20,0,0.002507961620427389,0.005118588326643408,0.9930285283574878,0.4036562738315174,0.02739999999999998,1.0,0.010921463344307214
LHS,20,1,0.001969011192276599,0.003595340364022189,0.996560430554541,0.31383260589091116,0.02739999999999998,1.0,0.0007380943779961013
LHS,20,2,0.001647500237081714,0.002721670160667806,0.9980289617824682,0.2743763193847596,0.0,0.0,0.004460028243635561
LHS,20,3,0.002167275407795138,0.00424420789123647,0.9952068904151583,0.349903816153392,0.02739999999999998,1.0,0.006118166156840021
LHS,20,4,0.001982760909354988,0.003673834961272967,0.9964086035685877,0.32259334673452733,0.02739999999999998,1.0,0.0003111615123336797
LHS,20,5,0.0032506285275945407,0.006088288560346055,0.9901368754474269,0.5426693935134524,0.02739999999999998,1.0,0.011072906636213187
LHS,20,6,0.0020228570965358777,0.004328916203447579,0.9950136538985208,0.3209421636286782,0.02739999999999998,1.0,0.00401531499536989
LHS,20,7,0.002026330572831017,0.0036526456457316456,0.9964499117802877,0.3252091309079801,0.02739999999999998,1.0,0.002297472072858242
LHS,20,8,0.0020032592114066347,0.004743314913070002,0.9940132933381042,0.3231474469131217,0.02739999999999998,1.0,0.01056232665692347
LHS,20,9,0.002143877723108852,0.0030794933533329016,0.9974766203084799,0.3506819503285101,0.018299999999999983,0.0,0.0046892208740971775
LHS,20,10,0.0033313456333283853,0.0056065442787674525,0.9916359894063987,0.5605091819966365,0.018299999999999983,0.0,0.011219702552372701
LHS,20,11,0.0016871588651392669,0.0030438514804585403,0.9975346931792511,0.2650547927919483,0.02739999999999998,0.0,0.011935249664908554
LHS,20,12,0.00317229792177446,0.005094183854768888,0.9930948472277161,0.5291776255141354,0.007600000000000051,1.0,0.012550324204600893
LHS,20,13,0.0017501765868247576,0.0032179432236503704,0.9972446243512354,0.2803996052253437,0.02739999999999998,0.0,0.0034731691022041877
LHS,20,14,0.0019913612117712105,0.0044594852991696726,0.9947083204749005,0.31182769829992585,0.02739999999999998,1.0,0.00924726483714422
LHS,20,15,0.0013614518803737334,0.0023293865435138755,0.998556199506423,0.2152965741314605,0.02739999999999998,0.0,0.005203176685748767
