method,n,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,mape_mean,mape_std,bep_q_err_mean,bep_q_err_std,bep_h_err_mean,bep_h_err_std,bep_eff_err_mean,bep_eff_err_std
BO-UCB,10,0.01199012787243669,0.007052237388252869,0.019218946617201728,0.011869844322447221,0.8661005190023199,0.17589540665400372,2.1609945043486722,1.3233427221536913,0.016214999999999997,0.011868280370271342,0.15,0.36634754853252327,0.0023051662539691985,0.0030403912452863367
BO-UCB,12,0.009864682580647533,0.004198424403552267,0.015774129164217634,0.007184539878851336,0.9207432834034351,0.07028513690312439,1.7730085228552839,0.7797387714503459,0.01369999999999999,0.014055903423566602,0.0,0.0,0.00030011703467561766,0.00030656115883971044
BO-UCB,14,0.008378700311851842,0.0029502935397603463,0.014651555248466485,0.006196157588730271,0.9331746299928023,0.06148088793944886,1.524255435250455,0.5729908390937244,0.0,0.0,0.0,0.0,2.041971947580601e-06,6.368023628374639e-07
BO-UCB,16,0.008687349618700222,0.0032320140801505312,0.015244272494668643,0.006659821474350166,0.9269528227750431,0.057898189313935866,1.589912017112845,0.6240111571861415,0.0,0.0,0.0,0.0,1.8783962396851096e-06,8.224316041452155e-07
BO-UCB,20,0.007723842729838945,0.0029923795060668324,0.013530177195709338,0.0055987147623020265,0.9433649201087672,0.04578118961183192,1.395427371152397,0.5624076228794679,0.0,0.0,0.0,0.0,2.152377495207025e-06,7.48023138205997e-07
BO-UCB,25,0.0069348947852609115,0.0025833185607369667,0.01212137102708372,0.005144358652525961,0.9542146758915774,0.0433496519936209,1.2625037733797968,0.502281302784932,0.0,0.0,0.0,0.0,1.5325590010550893e-06,7.654476098001568e-07
BO-UCB,30,0.006494058244093909,0.0021684722997789606,0.011887064195962372,0.004008659827726453,0.958339203606762,0.025660142464012256,1.193159693318911,0.4042179238083491,0.0,0.0,0.0,0.0,1.582574167541262e-06,3.3186191297941785e-07
Grid,6,0.009055304287582335,0.0031003966369007123,0.01159736842775258,0.003599581937794386,0.9609362380444866,0.023114744794928224,1.508058749736691,0.523702266702493,0.00998000000000004,0.006458662074259141,0.9,0.4472135954999579,0.013220090251038135,0.002586172609954653
Grid,8,0.004236904400460302,5.017889313181668e-11,0.0059909924614367175,6.994280383488845e-11,0.9904495989877485,2.229953678811028e-10,0.7090436734201357,1.109466967171238e-08,0.007600000000000051,0.0,1.0,0.0,0.013084634230315733,8.718503464515655e-12
Grid,10,0.0035415474494510982,0.000773974022689338,0.005372969691229785,0.0007151305951858507,0.9921891034427297,0.002300534767610461,0.566925920665825,0.13898636793308353,0.010510000000000047,0.007108031039827959,0.95,0.22360679774997896,0.01199011509587573,0.0027802380453613865
Grid,12,0.0031312207833834546,0.0007157657854020785,0.004758561914033068,0.0008426448637211928,0.9937952553344799,0.002404850488295543,0.5027431686419808,0.12165760830032976,0.010805000000000032,0.007181370269479778,0.7,0.4701623459816272,0.011309499482714263,0.003290092785995359
